Linha,Frequˆncia
1501,50
1601,70
1701,20
1702,20
2201,100
2202,20
2203,80
2601,20
2603,30
2604,60
3301,70
4601,20
4603,25
4701,60
5101,110
5601,100
5702,120
5801,20
5802,25
5803,95
5901,75
5902,100
6201R,60
6202,50
6404,60
6604,100
6901,105
7101,60
7103,20
8201,100
